unique_id,document,tag_0,tag_1,tag_2,source,group,document_length,label
255,"Benefits include reduced rebuilding costs, reduced insurance premiums, continuity of  operations in an emergency, and supply chain resilience. Several federal funding  sources can help pay for these improvements, including FEMA programs such as the  Hazard Mitigation Grant Program, Flood Mitigation Assistance Program, and Pre- Disaster Mitigation Grant Program, and HUDs CDBG-DR program. Some local and  state government agencies can help with funding as well; benefits to communities  include retaining local businesses, jobs, and the tax base; protecting historic character  (if the floodproofing is done carefully); and preserving a healthy business district that  provides services and amenities that attract visitors, residents, and investment.",STRATEGY IDENTIFICATION,Strategy Action (general),Financing and Funding,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,751,Develop Strategies and Actions
257,"Green infrastructure techniques can save  property and business owners money while  helping to protect their property from  flooding, reduce ambient air temperatures,  and add attractive plants and design  elements. Cisterns capture rainwater to reuse  for irrigation, saving money on water bills  (Figures 27 and 28). Green roofs also  capture runoff and insulate the building,  helping to reduce heating and cooling bills (Figure 29). Adding green infrastructure  elements to parking lots, which along with  roofs are often the largest expanses of  impervious area on a development site, can  reduce stormwater runoff significantly while  also making the lot more attractive and  cooler (Figure 30). Preserving and planting  trees in new development or redevelopment  sites can similarly slow rainfall while  cooling and cleaning the air. Sometimes, incorporating these practices  into a site design can add time and money;  however, it could save both in the event of a  heavy rain storm by reducing runoff,  ponding, and local flooding. Often, if  incorporated into the early site design, green  infrastructure practices can reduce overall  infrastructure development costs. Some  local governments have cost-share and technical assistance programs to install  green infrastructure on private property.43",STRATEGY IDENTIFICATION,Strategy Action (general),Physical Infrastructure,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,1308,Develop Strategies and Actions
258,"Make operational investments. Investing in water- and energy-efficient equipment and practices to reduce resource consumption can increase a business climate resilience. Future climate change impacts, as well as changing legislation and societal awareness, might affect the cost and availability of resources necessary for everyday functions. Using resources more efficiently protects the individual business from disruptions and saves it money. If done by the industry collectively, it can lessen the strain on that resource. Businesses that rely on a resource that is likely to become scarcer and/or more",STRATEGY IDENTIFICATION,Strategy Action (general),Physical Infrastructure,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,606,Develop Strategies and Actions
260,"Businesses could participate in industry-specific outreach, training, and coordination  (e.g., conferences, online training, or informal informational exchanges) to share  successes in operational investments to reduce their industrys risks from resource  limitations, supply chain concerns, or other factors. These efforts can also lead to better  training to help staff understand, prepare for, and manage hazardous events. These types  of informational events can be encouraged by individual businesses and coordinated by  regional chambers of commerce, trade associations, or other industry groups.",STRATEGY IDENTIFICATION,Strategy Action (general),"Capacity, Management, and Planning",A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,602,Develop Strategies and Actions
262,"ursue opportunities to move into climate-related and/or climate-resilient markets. Climate- resilient markets are relatively less dependent on a particular climate outcome. Examples of climate-related markets include engineering services; designing, installing, and maintaining green infrastructure; developing climate projections; weather-related insurance; designing, building, or retrofitting homes to be flood-resistant; developing material innovations such as saltwater-resistant materials; developing drought-resistant crops; and installing and maintaining renewable energy and energy- and water-efficiency technology and practices",STRATEGY IDENTIFICATION,Strategy Action (general),Financing and Funding,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,637,Develop Strategies and Actions
264,"Tourism-related businesses could consider what amenities might make it possible to sustainor changetheir business given anticipated changes in weather patterns. For example, beachside businesses that are likely to see hotter days might want to invest in shaded patios, while ski areas might want to offer summer or indoor activities. Changing weather patterns could bring new opportunities, such as a longer beach season.  Incorporating onsite renewable energy generation and energy- and water-efficient technology and practices into buildings helps occupants of those buildings save money and remain comfortable even if external power is lost. These technologies also fit well with many companies and communities efforts to reduce greenhouse gas emissions, save money on energy and water, and adapt to a future with more drought. Companies can explore opportunities to develop these technologies and practices and train workers to install and maintain them.",STRATEGY IDENTIFICATION,Strategy Action (general),Financing and Funding,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,958,Develop Strategies and Actions
268,"This guidebook is scalable and intended to be used by local govern- ment planners in cities and counties of any size, providing a frame- work to develop an initial or update an existing Adaptation Plan  based on current Florida laws, requirements, and recommendations.  Not all communities will experience sea level rise in the same way or  within the same timeframes. Once Context for your specific location  is established (Chapter 1), a Vulnerability Assessment (Chapter 2) can  follow. This assessment will guide your community to then establish  Adaptation Strategies (Chapter 3) for the specific challenges that face  your community in a timeframe that is applicable and realistic. The  last component is to determine how to Implement Strategies into  your plan (Chapter 4) with existing resources and into other existing  planning products and processes. Additional recommendations for  periodic updates to review refined climate change and sea level rise  science are included as well as recommendations on how to include  adaptation in other planning processes as they are updated.",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1090,Set Goals and Objectives
269,"The goal of this guidebook is to assist Florida communities in prepar- ing for and dealing with the effects of sea level rise, especially coastal  flooding, erosion, and ecosystem changes. Using this guidebook, com- munities can move along the steps of Vulnerability Assessment, Adap- tation Planning, and Implementation as outlined on the next page in  the Steps to Create Adaptation Plans road map. The unique challenges  that sea level rise will pose within jurisdictions will require patience  and diligence in the face of constantly changing conditions and infor- mation. Using the process outlined in this guideline will help define  timeframes within which those changes are likely to occur and provide  a springboard for continued discussion on how to protect our quality  of life in the face of dynamic environmental changes.",GUIDE PURPOSE AND OBJECTIVES,Guide Outcomes,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,834,Set Goals and Objectives
284,"1.2. Set Guiding Principles and Motivations  By determining guiding principles and motivations, the community can  establish its compass for navigating through the remaining components  of the planning process. The guiding principles and motivations are one  of the plans most interactive sub-components and should assist deci- sion-making activities in the subsequent components (i.e., Vulnerability  Assessment, Adaptation Strategies, and Implementation Strategies). The communitys guiding principles and motivations for sea level rise  adaptation planning should be set by the plan development team and  the steering committee. The principles and motivations examine how  the community operates and set its vision for the future which leads  to planning goals. Convening a group to set the overarching goals is  one primary method for identifying and organizing guiding forces into  a single planning process. The principles may align well with goals, and  motivations can be aligned as objectives to meet one or more goals.  Setting goals is also a part of the comprehensive planning process and  Local Mitigation Strategy process (see 44 CFR 201.6 (c)(3)(i)), which are  both recognized at the state and federal level as an important step in  facilitating hazard planning efforts. Communities should ensure that  the goals of their adaptation plan fit well within the goals set by other  planning mechanisms such as their Local Mitigation Strategy, Post-Di- saster Redevelopment Plan, Comprehensive Plan, Historic Preserva- tion Plan, and others if applicable. If the goals from different plans  conflict, then the implementation phase will likely be difficult and may  reach an impasse.",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1692,Set Goals and Objectives
285,"1.3. Describe the Geographic Context Describing the geographic context delineates the boundaries of the plan- ning area and the assets, buildings, and structures contained therein.  It is important for the planning team to contextualize the physical loca- tion for which a community is planning. Describing the geographic con- text should include maps with the location of the community within  the larger region as well as topographical, hydrological, and zoning  layers that indicate current limitations and opportunities for develop- ment activities. The maps and information developed in this plan sub-component  should support the activities within the Vulnerability Assessment com- ponent. As presented in the Exposure Analysis (see Chapter 2.1) and  Sensitivity Analysis (see Chapter 2.2), maps of the community showing  potential sea level rise are a crucial piece of information for the adap- tation planning process",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,925,Set Goals and Objectives
301,"Community conversations to identify goals should be centered on topics  including:   Background information and critical risks.   The steps that can be taken to reduce risks.   Why adaptation planning efforts are important for the community.   How the proposed strategies will impact the community.   Which proposed strategies the community prefers.   Steps residents can take to assist in community adaptation efforts. In doing so, an informed set of stakeholders may be equipped to add great  value to the critical thinking behind Focus Area prioritization (see Chapter 2.3).",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,577,Set Goals and Objectives
319,"2.3. Assign Focus Areas With the assistance of the steering  committee and community stake- holders, the planning team may  assign Focus Areas. This sub-com- ponent builds on the identification  of sensitive entities in the previous  step and assigns community pref- erences to areas that will receive a  majority of the adaptation strategy attention. The Focus Areas help  the community designate areas to start their adaptation process and  narrow the field to build a track record of implementation. Deciding on Focus Areas is a step where the planning team engages  the community to address the findings from the Exposure and Sensi- tivity Analyses. It is recommended that before the Vulnerability Assess- ment begins, criteria be established to guide the publics input (e.g.,  Focus Areas are established where critical facilities or infrastructure  are located and/or where the highest affected population resides).  To do this, it is important to convey information about the potential  affected entities to both steering committee members and community  stakeholders and to record their feedback about what should become  a Focus Area and why. Preferential areas which receive steering com- mittee and community attention may then be deemed Focus Areas  that can benefit from adaptation strategies directed toward them  using the following components.",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1359,Set Goals and Objectives
356,"Focus Areas Once the Exposure and Sensitivity Analyses have been conducted, a  community may translate these findings into map-designated areas  that constitute the boundaries of the Focus Areas. Focus Areas should  be based upon the findings generated during the Exposure and Sensi- tivity Analyses. Focus Areas can be defined on a map according to the  following characteristics: a specific geographic area (e.g., development  along coastlines), certain vulnerable populations or communities (e.g.,  the elderly and climate-related health risks), natural and built systems  (e.g., local stormwater drainage systems and infrastructure), and other  assets identified and quantified during the Sensitivity Analysis.",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,714,Set Goals and Objectives
357,"Funding Opportunities In addition to potential grants available through NOAA and other fed- eral and non-profit agencies (see Appendix 6.2 for examples of specific  funding programs), funding opportunities to complete a vulnerabil- ity assessment may come in the form of partnerships. A vulnerabil- ity assessment can support many local planning efforts in addition to  adaptation planning. As such, resources could be shared to support  the development of a vulnerability assessment that could be inte- grated into multiple local plans. Integrating adaptation planning into  existing local plans is discussed further, in Chapter 3.4.",STRATEGY IDENTIFICATION,Strategy Action (general),Financing and Funding,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,634,Develop Strategies and Actions
361,"3.2. Prioritize Adaptation Needs Once the adaptive capacities of the local community have been identi- fied, a prioritization framework can follow. At this point in the planning  process, the community should be aware of the impacts of potential  sea level rise and inland flooding, have identified its focus areas to  address the impacts, and/or have inventoried the capacity of the com- munity to adapt. It is at this step that the community combines those  findings and creates a short list of its biggest challenges to determine  what can feasibly be done where and when.16 Articulating a communitys biggest challenges to sea level rise is a nec- essary step in identifying adaptation needs. For example: The most  important challenge facing the local agency is adequately address- ing the current state of the wastewater treatment plant which is at  increased risk to flooding or Elevating the many bridges in the local  agencys jurisdiction to withstand 2 feet of sea level rise is our high- est priority. Prioritizing adaptation needs sets the stage for the next  sub-component  creating specific adaptation strategies. Prioritization can be as simple as selecting the needs that can be  addressed currently (using capacities already identified as robust in the  Assess Adaptive Capacity step or categorized as low-hanging fruit)  and saving the more involved solutions for later. Conversely, it may  be more important for a local agency to tackle large-scale expected  impacts first, regardless of cost and complication, due to urgency",STRATEGY IDENTIFICATION,Strategy Selection,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1543,Develop Strategies and Actions
364,"Accommodation strategies alter physical design to allow the structure  or land use to stay in place. Examples of this are floodable develop- ment, floating structures, and increased stormwater storage via imple- mentation of Low Impact Development or Green infrastructure (LID/ GI) in upstream locations. LID/GI upstream improvements reduce  downstream flows by allowing more stormwater to infiltrate in place,  thereby taking the pressure off the existing downstream stormwater  infrastructure. In the Netherlands, a concept known as Room for the  River helps dictate land use compatible with periodic flooding being  designated adjacent to all major Dutch rivers.",STRATEGY IDENTIFICATION,Strategy Action (general),Physical Infrastructure,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,665,Develop Strategies and Actions
365,"Retreat from areas or infrastructure where protection or accommoda- tion will not be efficient or effective can be voluntary, incentivized, or  done gradually. It can also involve new building designs in vulnerable  areas to be altered or moved when appropriate in the future. Com- munities can also plan for an eventual retreat from barrier islands and  coastal high hazard areas but, in the meantime, continue to invest  in assets in a limited fashion based on that assets expected lifetime  and projected inundation. It is important to note that communication  about retreat can be difficult. The language used to convey adaptation  strategies can make a difference in how communities react to propos- als. The term retreat often conveys a defeat, which can deter stake- holders from embracing the strategy. They may instead fight it. Other  possible terms to use include managed relocation and realign- ment. Home buyout programs, rolling easements, and land swaps are  a few possible mechanisms that communities can investigate in order  to implement managed retreat. There is also a growing body of case  law in this arena.",STRATEGY IDENTIFICATION,Strategy Action (general),"Capacity, Management, and Planning",A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1129,Develop Strategies and Actions
366,"Avoidance involves guiding new development away from areas that  are subject to coastal hazards and can be done by implementing pol- icy and/or offering of incentives. Since capital infrastructure is devel- oped and maintained for a relatively long lifespan, planning for future  changes in sea level should be a part of initial design or incorporated  when plans are due for periodic update. City and County Land Devel- opment Regulations and Codes, as well as zoning regulations, can be  used to direct development and redevelopment to more suitable areas  where flooding and erosion are less troublesome. See Chapter 3.6 for  information about Transfer of Development Rights (TDR), another  strategy for avoidance.",STRATEGY IDENTIFICATION,Strategy Action (general),Regulatory policy and legislation,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,717,Develop Strategies and Actions
367,"Adaptation Action Areas  a State Planning Tool The designation of Adaptation  Action Areas (AAAs) is a compre- hensive planning tool that has been  available since 2011 with the pas- sage of the Community Planning  Act by the Florida legislature. An  optional but highly recommended  tool for adaptation strategies, AAAs  lend themselves to a flexible form  of zoning overlay that delineates  the physical areas where certain measures, restrictions, or prioritized  funding would apply. It is especially beneficial to designate AAAs now  because local agencies currently have the option to devise criteria  for their designation and the flexibility to edit them as circumstances  change. In many instances the 2018 FIRM update expands FEMA-des- ignated floodplains, however, in places where they are being reduced,  the need for AAAs is especially urgent. These areas are still vulnerable  to flooding, but property owners who have the option to drop flood  insurance will likely do so",STRATEGY IDENTIFICATION,Strategy Action (general),Regulatory policy and legislation,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,985,Develop Strategies and Actions
369,"Selection of Strategies In coordination with public input (which is described in greater detail in  Chapter 3.7), the planning team assesses the relative merits and costs  of each adaptation strategy within a given focus area to prioritize the  preferred adaptation strategy. This may be accomplished through a ben- efit-cost analysis, alternatives analysis, stakeholder feedback, or even  new output from a tool utilized during the Vulnerability Assessment.  Communities that have already gone through this process have also  identified the value of doing a business as usual baseline assessment18 that will help compare the costs anticipated by the adaptation strategies.  While adaptation strategies carry a cost, sometimes a significant one,  in the long run a benefit-cost analysis may show that properly planned  adaptation yields a tremendous savings as compared to doing nothing.",STRATEGY IDENTIFICATION,Strategy Selection,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,887,Develop Strategies and Actions
370,"3.4. Integrate into Existing Plans Adaptation Planning outcomes are very effective when integrated into  specific local planning products. Below is a list of eight planning prod- ucts that may already exist in a local community that are appropriate  to amend with adaptation planning strategies.19 A Local Comprehensive Plan (LCP) is required of all Florida counties  and municipalities, guiding future growth and development. LCP pol- icies generally influence a communitys day-to-day land use decisions  and capital facilities expenditures. These policies play a major role in  determining local development patterns, which in turn determine the  degree to which people and property are exposed to natural hazards,  injury, and damage. Examples of communities who have already incor- porated AAAs in their LCP are included in Chapter 3.6, Best Practices. Florida local agencies are now required to integrate or add accom- modations for the 2015 Peril of Flood Statute [163.3178(2)(f) 1-6]  into their Local Comprehensive Plan. Signed into law by Governor Rick  Scott on May 21, 2015, this requirement should be contained in a new  or existing redevelopment component of their coastal management  planning element. This component should eliminate inappropriate and  unsafe development in the coastal areas when opportunities arise.",IMPLEMENTATION AND MONITORING,Plan Compliance and Integration,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1332,Adapt and Update Plan
412,"Once a set of adaptation strategies has been developed and analyzed, it  is time to transition to implementation activities to move the strategies  from plan to action. This process includes identifying, preparing for, and  applying for potential funding opportunities; creating a schedule of adap- tation actions for the future; and monitoring and evaluating progress. Implementation strategies are the specific steps a community takes to  incorporate the adaptation strategies into existing planning, budgeting,  and staffing mechanisms. The Assess Adaptive Capacities sub-com- ponent (Chapter 3.1) should outline the ability of the community to  take action. Even before the Vulnerability Assessment is conducted,  communities may want to consider possible implementation strate- gies based on available capacities, existing implementation schedules,  or available funding sources. Communities must be able to support  and implement adaptation activities to successfully reduce the neg- ative impacts of potential sea level rise that were identified during a  Vulnerability Assessment. The ability to implement can increase over  time, so communities should not simply settle for what is available at  the current time but expect that, as they undertake the first round of  implementation, their knowledge and capacity will grow. The Implementation Strategies component contains most of the adap- tation plans logistics  the actions and functions that need to take  place for the product (adaptation strategies) to be delivered. By care- fully aligning the schedule of activities to funding opportunities and  assigning groups who can competently prepare each of the adaptation  strategies for incorporation into their appropriate plan or physical loca-",STRATEGY IDENTIFICATION,Strategy Selection,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1756,Develop Strategies and Actions
414,"After major disasters, the Department of Housing and Urban Develop- ment (HUD) can provide mitigation grants under its Community Devel- opment Block Grant-Disaster Recovery (CDBG-DR) program when  Congress approves a disaster supplemental. The eligible activities vary  from disaster to disaster and would be provided in the Federal Register  notice along with the State Action Plan that must be developed. In addition, the Natural Resources Conservation Service (NRCS), under  the US Department of Agriculture, has two programs that may be  available to communities: the Emergency Watershed Protection (EWP)  Program and the Watershed Protection and Flood Prevention (WFPO)  Program. The EWP Program is a federal emergency recovery program  available after disasters and offers assistance to communities to relieve  imminent threats to life and property caused by natural disasters that  impair a watershed. The WFPO is a cooperative program between the  federal government, states, and locals to prevent floodwater and sed- iment damage and erosion and work towards conservation of water  and land in authorized watersheds. The Florida Department of Economic Opportunity manages the Flor- ida Disaster Recovery Program and assists communities in develop- ing economic development strategies, meeting the requirements of  the Community Planning Act, addressing critical local planning issues,  and promoting innovative planning solutions to challenges identified  by local government applicants. Community Planning Technical Assis- tance Grants are for one fiscal year and are awarded on a cost-reim- bursement basis. Deliverables must be approved by the Bureau befor",STRATEGY IDENTIFICATION,Strategy Action (general),Financing and Funding,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1668,Develop Strategies and Actions
415,"money is disbursed. The grants provide communities the opportunity  to develop innovative planning and development strategies to pro- mote a diverse economy, create vibrant rural and suburban areas,  and meet the requirements of the Community Planning Act while pro- tecting environmentally sensitive areas. In addition, the community  is encouraged to brainstorm innovative local funding ideas and plan  activities to build awareness and capacity for self-directed programs. If  a community identifies a lack of funding, a key consideration in assess- ing management priorities may be to identify and develop additional  funding resources",STRATEGY IDENTIFICATION,Strategy Action (general),Financing and Funding,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,639,Develop Strategies and Actions
417,"This methodology provides a framework for the  overall costs and benefits of each action to be con- sidered when setting priorities. As described in  Chapter 3, there are situations where the impacts  from sea level rise are significant and already  present or imminent that may warrant taking on  the bigger challenges in the near term even if all  the funding needed is not presently identified.  Prioritization enhances the impact of Focus Area- driven adaptation strategies by ensuring that  the community adds additional aspects to the  comprehension of coastal flooding in the greater  context and functioning of the community.",STRATEGY IDENTIFICATION,Strategy Selection,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,633,Develop Strategies and Actions
421,"4.5. Public Outreach Approach and  Opportunities for Community Participation Outreach can be one of the most important activities within a program  because it can lead to municipal action in the future. Increased stake- holder engagement throughout the adaptation planning process can  help to create buy-in amongst the public which can then in turn lead  to greater political support for adaptation actions in the community.  Holding public meetings, forums, or workshops that include business  groups, residents, and other community stakeholders can provide an  opportunity to educate participants and receive feedback based on  their understanding of local vulnerabilities to sea level rise and poten- tial responses. It can also be used as an opportunity to establish a con- nection between incremental improvements to citizen and property  safety and welfare and a more desirable future community. Participatory monitoring efforts can help the community observe  unanticipated coastal flooding impacts and effects of adaptation strat- egies. Stakeholder feedback can be used to gauge community satisfac- tion with adaptation strategies and their implementation and provide  a forum for addressing new concerns as they arise. These two partic- ipatory activities will continue after the initial planning effort is com- plete and may be integrated with other ongoing monitoring and evalu- ation mechanisms to ensure that continued attention is paid to them.  Communities should establish a long-term, simple feedback mecha- nism whereby individuals may express new concerns or developments  about the selected adaptation projects. In addition, some adaptation  projects (usually environmental) involve a degree of monitoring. Com- munity members may be willing to volunteer their time to observe if  the desired effects are occurring and even to provide maintenance and  upkeep labor.",IMPLEMENTATION AND MONITORING,Evaluation and Monitoring,NA,A4 - FL 2018 Adaptation Planning Guidebook,Climate Adaptation,1887,Monitor and Evaluate Progress
423,"The purpose of this guide is to help U.S. state and  territorial (state) coastal managers develop and  implement adaptation plans to reduce the impacts  and consequences of climate change and climate  variability (climate change) in their purview.2 It was  written in response to a request from state coastal  managers for guidance from the National Oceanic and  Atmospheric Administration (NOAA) on adaptation  planning in the coastal zone. It is intended as an aid,  not as a prescriptive directive, and a state may choose  to use individual steps or chapters or the entire guide,  depending on where they are in their planning proces",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,636,Set Goals and Objectives
424,"A climate change adaptation plan identifies and assesses  the impacts that are likely to affect the planning area,  develops goals and actions to best minimize these  impacts, and establishes a process to implement those  actions. While an adaptation plan for the coast or the  larger state may stand alone, planning to adapt to climate  change should be incorporated to varying degrees in all  statewide planning efforts (as well as regional and local  planning efforts). However you choose to move forward,  the ultimate goal is coastal states and communities  that are organized to take action, have the tools to take  action, and are taking action to plan for and adapt to the  impacts of climate change.",GUIDE PURPOSE AND OBJECTIVES,Guide Outcomes,NA,A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,708,Set Goals and Objectives
427,"Structure This document is structured to help guide managers  through the planning process from establishing  the planning team to implementing the plan. This  chapter, Chapter 1, introduced the guide, its purpose,  intended audience, methodology, and structure. The  remainder of the guide is organized as follows:  Chapter 2 Climate Change and the Coast provides a brief and general overview of the  value of our coasts and how they may be  affected by climate change to establish the  importance of adaptation planning.   Chapter 3 Planning Process describes the  steps to take to create a plan and bring it to  life.  Chapter 4 Vulnerability Assessment explains the elements involved in a  vulnerability assessment for the purposes of  guiding adaptation efforts.  Chapter 5 Adaptation Strategy discusses  how to establish goals and identify actions  that may be able to reduce the negative  impacts associated with climate change and  introduces a framework to help users choose  and prioritize actions that will aid them in  achieving their goals.  Chapter 6 Plan Implementation and  Maintenance suggests ways to implement  a plan; track, evaluate, and communicate its  progress; and update it to reflect completed  actions, changing circumstances, and new  science, data, tools, and techniques.  Appendix A Potential Federal Funding  Sources provides information about some of  the existing programs, which may not target  climate change specifically, that may provide  funding for climate change adaption planning  or project implementation.  Appendix B Federal Laws and Executive  Orders Relevant to Climate Change on  the Coast lists some of the federal laws and  executive orders that support climate change  adaptation.  Appendix C Regional Climate Summaries  provides brief summaries of how climate  change may affect the different regions of the  United States.",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,1875,Set Goals and Objectives
434,"Establish the Planning Process  Step 1.1: Scope out Level of Effort and  Responsibility  Step 1.2: Assess Resource Needs and  Availability  Step 1.3: Assemble Planning Team and  Establish Responsibilities  Step 1.4: Educate, Engage, and Involve  Stakeholders  Assess Vulnerability  Step 2.1: Identify Climate Change  Phenomena  Step 2.2: Identify Climate Change Impacts  and Consequences  Step 2.3: Assess Physical Characteristics  and Exposure  Step 2.4: Consider Adaptive Capacities  Step 2.5: Develop Scenarios and Simulate  Change  Step 2.6: Summarize Vulnerability and  Identify Focus Areas  Create an Adaptation Strategy  Step 3.1: Set Goals  Step 3.2: Identify Actions  Step 3.3: Evaluate, Select, and Prioritize  Actions  Step 3.4: Write Action Plans  Design a Plan Implementation and  Maintenance Process  Step 4.1: Adopt the Plan  Step 4.2: Implement the Plan  Step 4.3: Integrate Plan Findings into  Other State Planning Efforts and  Programs  Step 4.4: Track, Evaluate, and  Communicate Plan Progress   Step 4.5: Update the Plan",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,1040,Set Goals and Objectives
435,"Step 1.1: Scope Out Level of  Effort and Responsibility Before initiating planning activities, you will need to  decide on the scope of your planning efforts. While  this guide is written for coastal managers at the state  level and focuses largely on activities for which they  have responsibilities, your state may want to address  adaptation at a larger scale. In that case, you may be  the lead, or you may be one of many planning team  members.  The process described in this guide can be scaled  up to incorporate impacts, consequences, and  sectors not discussed here (e.g., those not under the  jurisdiction of the coastal management program)  or can be scaled down to focus on a single impact,  consequence, or region. Conducted on its own, a  coastal adaptation plan could easily be integrated  into larger planning efforts, which may or may not  yet have begun.  Consider whether a stand-alone adaptation plan  is really necessary. What other ongoing planning",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,970,Set Goals and Objectives
436,"efforts is your state engaged in? Some states are  including climate change adaptation planning along  with climate change mitigation planning or in their  hazard mitigation plans, which may give short shrift to  ecological systems and needs. Others are including it in  wildlife action plans, which, in turn, will likely exclude  impacts on the built environment. Other plans that  may relate to climate change adaptation include coastal  management, watershed management, emergency  operations, transportation, economic development, and  growth plans. These plans are also excellent resources  for the adaptation plans vulnerability assessment and  adaptation strategy.  Know what your state is thinking about climate  change adaptation planning, both short and long  term, and where your program best fits into the  process. Also, look into how adaptation planning  is being handled at the local level in your state and  consider how to incorporate existing efforts into your  plan and/or how your plan can be used to guide and  support local planning. A new state law or executive order authorizing the  climate change adaptation planning process would  help ensure it has adequate resources, support, and  legitimacy. This may require educating elected officials,",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,1268,Set Goals and Objectives
440,"Financial resourcesYou will need financial  resources to support both human and technical  resources as well as general planning activities  (e.g., public meeting notices, meeting space,  office supplies, etc.). A number of federal  agencies provide grants for planning and  implementation activities, most of which, at  this point in time, indirectly support climate  change adaptation. A list of possible federal  funding sources can be found in Appendix A.  Other sources of funding may include private  foundations and nonprofit organizations.",STRATEGY IDENTIFICATION,Strategy Action (general),Financing and Funding,A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,547,Develop Strategies and Actions
484,"Capacity can be described in terms of the ability  of your states governments and their populations  to prepare for, respond to, and recover from the  impacts of climate change. Due to regional variability,  capacity may vary significantly along your coast. In  addition to support from elected officials and other  leaders, which will be critical to successful adaptation,  examples of existing tools and resources that can  support the ability of governments to address climate  change include, but are not limited to:",STRATEGY IDENTIFICATION,Strategy Action (general),"Capacity, Management, and Planning",A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,520,Develop Strategies and Actions
493,"Step 3.1: Set Goals There is no one set of goals that can be applied to  all coastal zones. They will vary based on a number  of factors, such as the type and magnitude of  projected climate change impacts and the vulnerable  assets as identified in the vulnerability assessment.  Other important factors include the availability of  financial, technical, and human resources and the  states acceptable level of impacts. Goals should  be clearly written, attainable, and measurable  (qualitatively or quantitatively).  After reviewing the vulnerability assessment  findings, a good starting point for goal setting is  to review goals established in other state plans/ programs (e.g., those for coastal management,  hazard mitigation2, emergency operations,  environmental preservation, economic development,  resource management, transportation, etc.).  Adaptation plans from other governments, state and  local, are also useful resources. Some of these plans  can be accessed online at http://collaborate.csc .noaa.gov/climateadaptation/.",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A5 - NOAA Coastal Management 2010 adaptationguide,Climate Adaptation,1039,Set Goals and Objectives
